"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;6;11,77746579;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;8;10,82253613;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;10;9,230986699;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;12;7,639437268;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;14;6,366197724;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;16;4,456338407;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";4;13,20986028;19,4;18;2,228169203;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;0,1;15,43802948;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;0,5;14,00563499;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;1;13,52817016;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;1,5;13,05070533;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;2;12,89155039;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;4;12,25493062;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;6;11,61831085;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;8;10,66338119;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;10;9,867606472;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;12;8,912676813;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;14;7,957747155;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;16;6,68450761;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;18;5,570423008;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;20;4,297183463;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";5;13,36901522;23,7;22;2,228169203;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;0,1;14,96056465;7
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;0,5;14,32394488;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;1;13,52817016;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;1,5;13,36901522;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;2;13,05070533;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;4;12,09577567;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;6;11,14084602;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;8;10,18591636;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;10;9,230986699;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;12;8,276057041;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;14;6,68450761;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;16;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;18;3,342253805;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";6;13,52817016;21,5;20;1,591549431;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;0,1;15,27887454;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;0,5;14,64225476;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;1;13,68732511;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;1,5;13,52817016;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;2;13,36901522;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;4;12,41408556;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;6;11,77746579;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;8;10,82253613;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;10;9,867606472;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;12;8,912676813;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;14;8,276057041;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;16;7,321127382;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;18;5,570423008;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;20;4,297183463;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";7;13,68732511;22,7;22;2,228169203;1
