"CLONE";"TALHAO";"ARVORE";"TORA";"DAP";"HT";"hi";"di_cc";"e_casca";"comp_secao"
9318;2;26;13;16,2;20;12,5;11;2;1
9318;2;26;14;16,2;20;13,5;10,5;2;1
9318;2;26;15;16,2;20;14,5;10;2;1
9318;2;26;16;16,2;20;15,5;9,5;6;1
9318;2;26;17;16,2;20;16,5;9;6;1
9318;2;26;18;16,2;20;17,5;8;7;1
9318;2;26;19;16,2;20;18,5;7,5;6;1
9318;2;26;20;16,2;20;19,5;7;6;1
9318;2;27;1;16,6;20;0,5;17,5;6;1
9318;2;27;2;16,6;20;1,5;16,5;5;1
9318;2;27;3;16,6;20;2,5;16;4;1
9318;2;27;4;16,6;20;3,5;16;4;1
9318;2;27;5;16,6;20;4,5;15;3;1
9318;2;27;6;16,6;20;5,5;14,5;3;1
9318;2;27;7;16,6;20;6,5;14;3;1
9318;2;27;8;16,6;20;7,5;14;3;1
9318;2;27;9;16,6;20;8,5;13;3;1
9318;2;27;10;16,6;20;9,5;13;3;1
9318;2;27;11;16,6;20;10,5;12,5;3;1
9318;2;27;12;16,6;20;11,5;12;3;1
9318;2;27;13;16,6;20;12,5;11;3;1
9318;2;27;14;16,6;20;13,5;10,5;2;1
9318;2;27;15;16,6;20;14,5;10;2;1
9318;2;27;16;16,6;20;15,5;10;1;1
9318;2;27;17;16,6;20;16,5;9;11;1
9318;2;27;18;16,6;20;17,5;8,5;10;1
9318;2;27;19;16,6;20;18,5;8;8;1
9318;2;27;20;16,6;20;19,5;7;8;1
9318;2;28;1;16,5;21;0,5;18;7;1
9318;2;28;2;16,5;21;1,5;16,5;6;1
9318;2;28;3;16,5;21;2,5;16;5;1
9318;2;28;4;16,5;21;3,5;16;4;1
9318;2;28;5;16,5;21;4,5;16;4;1
9318;2;28;6;16,5;21;5,5;15;4;1
9318;2;28;7;16,5;21;6,5;14;4;1
9318;2;28;8;16,5;21;7,5;14;4;1
9318;2;28;9;16,5;21;8,5;13,5;3;1
9318;2;28;10;16,5;21;9,5;13;4;1
9318;2;28;11;16,5;21;10,5;13;3;1
9318;2;28;12;16,5;21;11,5;12;3;1
9318;2;28;13;16,5;21;12,5;11,5;3;1
9318;2;28;14;16,5;21;13,5;11;3;1
9318;2;28;15;16,5;21;14,5;10,5;3;1
9318;2;28;16;16,5;21;15,5;10;2;1
9318;2;28;17;16,5;21;16,5;9,5;1;1
9318;2;28;18;16,5;21;17,5;9;9;1
9318;2;28;19;16,5;21;18,5;8,5;9;1
9318;2;28;20;16,5;21;19,5;7;8;1
9318;2;28;21;16,5;21;20,5;6;8;1
9318;2;29;1;16,2;20;0,5;16,5;6;1
9318;2;29;2;16,2;20;1,5;16;5;1
9318;2;29;3;16,2;20;2,5;14,5;5;1
9318;2;29;4;16,2;20;3,5;14,5;6;1
9318;2;29;5;16,2;20;4,5;14;5;1
9318;2;29;6;16,2;20;5,5;14;4;1
9318;2;29;7;16,2;20;6,5;13;4;1
9318;2;29;8;16,2;20;7,5;13;4;1
9318;2;29;9;16,2;20;8,5;12,5;4;1
9318;2;29;10;16,2;20;9,5;12;4;1
9318;2;29;11;16,2;20;10,5;12;3;1
9318;2;29;12;16,2;20;11,5;11;3;1
9318;2;29;13;16,2;20;12,5;11;3;1
